rank,case_count,variant_length,variant
3183,1,86,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
3184,1,29,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Vendor creates invoice -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
3185,1,15,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
3186,1,238,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
3187,1,20,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet
3188,1,92,Create Purchase Order Item -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt
3189,1,121,Create Purchase Order Item -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet
3190,1,9,Create Purchase Order Item -> Receive Order Confirmation -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Remove Payment Block -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice
3191,1,6,Create Purchase Order Item -> Change Approval for Purchase Order -> Record Goods Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice
3192,1,6,Change Approval for Purchase Order -> Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
3193,1,10,Create Purchase Order Item -> Record Goods Receipt -> Cancel Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Change Quantity -> Remove Payment Block -> Change Delivery Indicator -> Clear Invoice
3194,1,7,Create Purchase Order Item -> Record Invoice Receipt -> Record Goods Receipt -> Vendor creates invoice -> Remove Payment Block -> Clear Invoice -> Record Invoice Receipt
3195,1,11,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Record Invoice Receipt -> Cancel Invoice Receipt
3196,1,8,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Vendor creates invoice -> Record Subsequent Invoice -> Clear Invoice
3197,1,10,Create Purchase Order Item -> Change Quantity -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt
3198,1,10,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Change Quantity -> Remove Payment Block -> Change Quantity -> Clear Invoice -> Change Quantity -> Cancel Invoice Receipt
3199,1,10,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Change Quantity -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Vendor creates debit memo -> Cancel Invoice Receipt -> Clear Invoice
3200,1,13,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates invoice -> Vendor creates debit memo -> Record Invoice Receipt -> Change Quantity -> Remove Payment Block -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice
3201,1,12,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt
3202,1,9,Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Change Quantity -> Record Goods Receipt -> Record Invoice Receipt -> Remove Payment Block -> Clear Invoice -> Cancel Invoice Receipt
3203,1,12,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates invoice -> Vendor creates invoice -> Cancel Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt
3204,1,14,Create Purchase Requisition Item -> Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Change Price -> Remove Payment Block -> Remove Payment Block -> Record Invoice Receipt -> Clear Invoice
3205,1,13,Create Purchase Order Item -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Goods Receipt -> Record Goods Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Remove Payment Block -> Remove Payment Block -> Record Invoice Receipt -> Clear Invoice
3206,1,26,Create Purchase Order Item -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice
3207,1,8,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Subsequent Invoice -> Remove Payment Block -> Clear Invoice
3208,1,11,Create Purchase Requisition Item -> Create Purchase Order Item -> Change Quantity -> Vendor creates invoice -> Record Goods Receipt -> Record Invoice Receipt -> Clear Invoice -> Vendor creates debit memo -> Cancel Goods Receipt -> Cancel Invoice Receipt -> Change Delivery Indicator
3209,1,40,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Vendor creates invoice -> Vendor creates invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice -> Clear Invoice -> Record Invoice Receipt -> Vendor creates invoice -> Record Invoice Receipt -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Clear Invoice -> Record Invoice Receipt
3210,1,63,Create Purchase Order Item -> Vendor creates debit memo -> Vendor creates invoice -> Vendor creates debit memo -> Vendor creates invoice -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice -> Vendor creates invoice -> Cancel Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Cancel Invoice Receipt -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Remove Payment Block -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Vendor creates invoice -> Record Invoice Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice
3211,1,15,Create Purchase Order Item -> Record Goods Receipt -> Vendor creates debit memo -> Vendor creates invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
3212,1,162,Create Purchase Order Item -> Vendor creates invoice -> Vendor creates debit memo -> Vendor creates invoice -> Vendor creates debit memo -> Vendor creates invoice -> Vendor creates debit memo -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice -> Clear Invoice -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Clear Invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Vendor creates debit memo -> Clear Invoice -> Vendor creates invoice -> Vendor creates invoice -> Cancel Invoice Receipt -> Cancel Invoice Receipt -> Cancel Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Cancel Invoice Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Clear Invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Clear Invoice -> Cancel Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Vendor creates invoice -> Clear Invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Vendor creates debit memo -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Vendor creates invoice -> Cancel Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Record Invoice Receipt -> Clear Invoice
3213,1,18,Create Purchase Order Item -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Vendor creates invoice -> Record Goods Receipt -> Record Service Entry Sheet -> Record Invoice Receipt -> Clear Invoice -> Record Goods Receipt -> Record Service Entry Sheet
